sentiment_burnout,sleep_deficit,overwork_score,break_deficit,mood_burnout,keyword_stress,deadline,cognitive_load,emotional_intensity,energy_level,social_interaction,physical_exercise,caffeine_intake,study_continuity,previous_mood_delta,risk_level_label,risk_score_target
0.2513228,0.25220814,0.19230703,0.2579629,0.30361366,0.30905503,0.0,0.15337607,0.042677246,0.6322475,0.79953086,0.5846679,0.33707044,0.08461382,0.50576806,Low,0
0.13749148,0.13147138,0.28705356,0.05722964,0.5321326,0.28472945,0.0,0.060227975,0.13224763,0.9409176,0.80368215,0.696967,0.4474754,0.21710332,0.10425179,Low,0
0.6625322,0.07072982,0.3317289,0.039714146,0.11747286,0.354956,0.0,0.25781932,0.4679534,0.76607287,0.92558336,0.75085384,0.10261176,0.35052487,0.16167733,Low,0
0.06705229,0.17559619,0.673777,0.11453176,0.011908011,0.14189665,0.0,0.16287893,0.35348627,0.8299957,0.8196719,0.79566747,0.64948946,0.3511542,0.17953825,Low,0
0.41330063,0.06536814,0.25622818,0.28125447,0.10676785,0.11671814,1.0,0.63173497,0.1424435,0.87952185,0.851038,0.7768082,0.4428791,0.40810245,0.30573708,Low,0
0.32855994,0.3909217,0.12973131,0.13143761,0.00074867066,0.6778375,1.0,0.009045052,0.2160318,0.8926894,0.5731232,0.87316924,0.26377806,0.13267396,-0.032460857,Low,0
0.25335947,0.29902324,0.21086162,0.28017247,0.23727961,0.17019892,0.0,0.18008712,0.5510308,0.75708693,0.7393497,0.76507133,0.03035706,0.21408528,0.41868708,Low,0
0.33193672,0.1580969,0.071984746,0.11127214,0.46968716,0.17312045,0.0,0.69791174,0.1401913,0.9482692,0.7869083,0.7049449,0.105805136,0.39956516,0.12660049,Low,0
0.21803467,0.24307713,0.70238423,0.09412987,0.054141223,0.32407475,0.0,0.117591366,0.15566212,0.74497414,0.87345773,0.81589204,0.2246504,0.08992707,-0.10056707,Low,0
0.042509455,0.19484563,0.5189416,0.5347651,0.24071294,0.52530706,0.0,0.3335734,0.0980412,0.45162466,0.94601506,0.80349475,0.31378087,0.12974834,0.5445889,Low,0
0.264225,0.072116874,0.41218182,0.016572433,0.5312007,0.02090176,0.0,0.27436703,0.3673936,0.80722654,0.6733655,0.7302095,0.34631428,0.1764478,0.0057354416,Low,0
0.19058786,0.5685832,0.3346393,0.11122257,0.16307884,0.11589546,0.0,0.23516336,0.20813423,0.81202996,0.79056513,0.8197271,0.70845735,0.54093754,0.32488048,Low,0
0.1932931,0.25497523,0.2704243,0.24718596,0.24544322,0.23613541,1.0,0.15095758,0.17420802,0.8041904,1.0,0.99559546,0.29530847,0.04314464,0.18317005,Low,0
0.16622919,0.04806089,0.15475768,0.23998317,0.1479282,0.1724697,0.0,0.2223942,0.16729507,0.9550152,0.5304805,0.752387,0.43253464,0.22715615,0.17675069,Low,0
0.14612845,0.12762098,0.46180952,0.50509876,0.24201116,0.0955627,0.0,0.0921889,0.041020554,0.6768771,0.6654286,0.7493341,0.43180856,0.10861463,0.5503979,Low,0
0.39861497,0.059800833,0.29430157,0.07390711,0.14971633,0.07853574,0.0,0.43930423,0.18252908,0.89227444,0.5993654,0.94190407,0.021740269,0.1829023,0.08792847,Low,0
0.0,0.10146149,0.22776522,0.28148356,0.21563455,0.20945878,0.0,0.0,0.21860938,0.92698663,0.7507284,0.70119506,0.16823371,0.06842867,0.061934967,Low,0
0.11504266,0.04672246,0.26657912,0.019734386,0.2560852,0.095596574,1.0,0.18552,0.430919,0.7181857,0.7722019,0.82671845,0.4279621,0.311062,0.41166353,Low,0
0.36376122,0.19072382,0.17631084,0.0040159966,0.1826761,0.4457496,0.0,0.27738544,0.14956504,0.80667806,0.96494067,0.6715365,0.14552027,0.101728186,0.096520044,Low,0
0.37245896,0.634037,0.26238889,0.20218983,0.3226066,0.22532001,0.0,0.16775282,0.067748055,0.89052474,0.6760315,0.5438752,0.041517504,0.25068727,-0.060835887,Low,0
